id,title,category,word_count,rating,reading_minutes,keywords,keyword_source,quality_status,quality_issues,pdf_path,markdown_path,source_url
"lakeflow-agentic-data-engineering","Lakeflow: A New Era of Agentic Data Engineering","data-engineering","199","6","1","lakeflow; agentic; era; unified; engineering; ansari","markdown + metadata","needs_review","review_rejected","articles/lakeflow-agentic-data-engineering/source.pdf","articles/lakeflow-agentic-data-engineering/article.md","https://www.databricks.com/blog/lakeflow-new-era-agentic-data-engineering"
"governing-ai-agents-unity-catalog","Governing AI Agents at Scale with Unity Catalog","data-governance","221","7","2","governing; agents; unity; scale; agent; catalog","markdown + metadata","needs_review","review_rejected","articles/governing-ai-agents-unity-catalog/source.pdf","articles/governing-ai-agents-unity-catalog/article.md","https://www.databricks.com/blog/governing-ai-agents-scale-unity-catalog"
"databricks-production-planning","Databricks Production Planning","azure-databricks","696","10","4","phase; phases; workspace; planning; azure; production","markdown + metadata","not_reviewed","","articles/databricks-production-planning/source.pdf","articles/databricks-production-planning/article.md","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/deployment-guide/"
"data-lakehouse-catalog-reality-check","Data Lakehouse Catalog Reality Check","data-governance","822","10","5","chris; reality; riccomini; lakehouse; announced; check","markdown + metadata","not_reviewed","","articles/data-lakehouse-catalog-reality-check/source.pdf","articles/data-lakehouse-catalog-reality-check/article.md","https://materializedview.io/p/data-lakehouse-catalog-reality-check"
"best-practices-for-abac-policies","Best Practices for ABAC Policies","data-governance","985","10","5","abac; tag; policies; genie; tags; mask","markdown + metadata","not_reviewed","","articles/best-practices-for-abac-policies/source.pdf","articles/best-practices-for-abac-policies/article.md","https://docs.databricks.com/aws/en/data-governance/unity-catalog/abac/best-practices"
"make-lakehouse-catalogs-boring-again","Make Lakehouse Catalogs Boring Again","data-governance","986","9","5","non-core; boring; catalogs; chris; datafusion; lakehouse","markdown + metadata","not_reviewed","","articles/make-lakehouse-catalogs-boring-again/source.pdf","articles/make-lakehouse-catalogs-boring-again/article.md","https://materializedview.io/p/make-lakehouse-catalogs-boring-again"
"begun-the-catalog-wars-have","Begun, the Catalog Wars Have","data-governance","1266","9","7","wars; catalogs; begun; chris; catalog; formats","markdown + metadata","not_reviewed","","articles/begun-the-catalog-wars-have/source.pdf","articles/begun-the-catalog-wars-have/article.md","https://materializedview.io/p/begun-the-catalog-wars-have"
"parallel-change","Parallel Change","distributed-systems","1331","8","7","cells; cell; coordinate; int; phase; migrate","markdown + metadata","not_reviewed","","articles/parallel-change/source.pdf","articles/parallel-change/article.md","https://martinfowler.com/bliki/ParallelChange.html"
"ai-governance-data-governance-gone-wild","AI Governance: Data Governance Gone Wild","data-governance","1533","","8","wild; iapp; gone; governance; proximity; opinion","markdown + metadata","not_reviewed","","articles/ai-governance-data-governance-gone-wild/source.pdf","articles/ai-governance-data-governance-gone-wild/article.md","https://iapp.org/news/a/ai-governance-data-governance-gone-wild"
"lethal-trifecta-ai-agents","The Lethal Trifecta for AI Agents","llm-security","1680","8","9","lethal; prompt; llm; trifecta; attacker; injection","markdown + metadata","not_reviewed","","articles/lethal-trifecta-ai-agents/source.pdf","articles/lethal-trifecta-ai-agents/article.md","https://simonwillison.net/2025/Jun/16/the-lethal-trifecta/"
"snowflake-horizon-vs-databricks-unity-catalog","Snowflake Horizon vs. Databricks Unity Catalog: Iceberg Comparison","data-governance","1891","9","10","horizon; iceberg; catalog; snowflake; engines; federation","markdown + metadata","not_reviewed","","articles/snowflake-horizon-vs-databricks-unity-catalog/source.pdf","articles/snowflake-horizon-vs-databricks-unity-catalog/article.md","https://www.snowflake.com/en/blog/engineering/snowflake-horizon-vs-databricks-unity-catalog-comparison/"
"design-patterns-securing-llm-agents","Design Patterns for Securing LLM Agents against Prompt Injections","llm-security","2161","8","11","prompt; llm; injections; securing; agents; injection","markdown + metadata","not_reviewed","","articles/design-patterns-securing-llm-agents/source.pdf","articles/design-patterns-securing-llm-agents/article.md","https://simonwillison.net/2025/Jun/13/prompt-injection-design-patterns/"
"observability-in-databricks","Observability in Databricks for Jobs, Lakeflow Pipelines, and Lakeflow Connect","azure-databricks","2191","9","11","lakeflow; avg; genie; utilization; jobs; metrics","markdown + metadata","not_reviewed","","articles/observability-in-databricks/source.pdf","articles/observability-in-databricks/article.md","https://docs.databricks.com/aws/en/data-engineering/observability-best-practices"
"camel-prompt-injection-mitigation","CaMeL Offers a Promising New Direction for Mitigating Prompt Injection Attacks","llm-security","2376","","12","prompt; camel; injection; llm; p-llm; attacks","markdown + metadata","not_reviewed","","articles/camel-prompt-injection-mitigation/source.pdf","articles/camel-prompt-injection-mitigation/article.md","https://simonwillison.net/2025/Apr/11/camel/"
